date,City,State,Year,month1,Month,Year-Month,Num_reviews
2020-02-24,Hawaii,Hawaii,2020,2,02,2020-02,631
2020-02-24,Las Vegas,Nevada,2020,2,02,2020-02,406
2020-02-24,Los Angeles,California,2020,2,02,2020-02,942
2020-02-24,New York,New York,2020,2,02,2020-02,510
2020-02-25,Chicago,Illinois,2020,2,02,2020-02,70
2020-02-25,Hawaii,Hawaii,2020,2,02,2020-02,629
2020-02-25,Las Vegas,Nevada,2020,2,02,2020-02,184
2020-02-25,Los Angeles,California,2020,2,02,2020-02,693
2020-02-25,New York,New York,2020,2,02,2020-02,310
2020-02-26,Chicago,Illinois,2020,2,02,2020-02,85
2020-02-26,Hawaii,Hawaii,2020,2,02,2020-02,600
2020-02-26,Las Vegas,Nevada,2020,2,02,2020-02,146
2020-02-26,Los Angeles,California,2020,2,02,2020-02,625
2020-02-26,New York,New York,2020,2,02,2020-02,311
2020-02-27,Chicago,Illinois,2020,2,02,2020-02,77
2020-02-27,Hawaii,Hawaii,2020,2,02,2020-02,583
2020-02-27,Las Vegas,Nevada,2020,2,02,2020-02,171
2020-02-27,Los Angeles,California,2020,2,02,2020-02,588
2020-02-27,New York,New York,2020,2,02,2020-02,320
2020-02-28,Chicago,Illinois,2020,2,02,2020-02,125
2020-02-28,Hawaii,Hawaii,2020,2,02,2020-02,546
2020-02-28,Las Vegas,Nevada,2020,2,02,2020-02,181
2020-02-28,Los Angeles,California,2020,2,02,2020-02,716
2020-02-28,New York,New York,2020,2,02,2020-02,367
2020-02-29,Chicago,Illinois,2020,2,02,2020-02,174
2020-02-29,Hawaii,Hawaii,2020,2,02,2020-02,645
2020-02-29,Las Vegas,Nevada,2020,2,02,2020-02,207
2020-02-29,Los Angeles,California,2020,2,02,2020-02,879
2020-02-29,New York,New York,2020,2,02,2020-02,596
2020-03-01,Chicago,Illinois,2020,3,03,2020-03,563
2020-03-01,Hawaii,Hawaii,2020,3,03,2020-03,645
2020-03-01,Las Vegas,Nevada,2020,3,03,2020-03,471
2020-03-01,Los Angeles,California,2020,3,03,2020-03,1280
2020-03-01,New York,New York,2020,3,03,2020-03,1008
2020-03-02,Chicago,Illinois,2020,3,03,2020-03,206
2020-03-02,Hawaii,Hawaii,2020,3,03,2020-03,652
2020-03-02,Las Vegas,Nevada,2020,3,03,2020-03,284
2020-03-02,Los Angeles,California,2020,3,03,2020-03,1006
2020-03-02,New York,New York,2020,3,03,2020-03,550
2020-03-03,Chicago,Illinois,2020,3,03,2020-03,126
2020-03-03,Hawaii,Hawaii,2020,3,03,2020-03,567
2020-03-03,Las Vegas,Nevada,2020,3,03,2020-03,155
2020-03-03,Los Angeles,California,2020,3,03,2020-03,609
2020-03-03,New York,New York,2020,3,03,2020-03,363
2020-03-04,Chicago,Illinois,2020,3,03,2020-03,91
2020-03-04,Hawaii,Hawaii,2020,3,03,2020-03,567
2020-03-04,Las Vegas,Nevada,2020,3,03,2020-03,140
2020-03-04,Los Angeles,California,2020,3,03,2020-03,638
2020-03-04,New York,New York,2020,3,03,2020-03,337
2020-03-05,Chicago,Illinois,2020,3,03,2020-03,106
2020-03-05,Hawaii,Hawaii,2020,3,03,2020-03,546
2020-03-05,Las Vegas,Nevada,2020,3,03,2020-03,156
2020-03-05,Los Angeles,California,2020,3,03,2020-03,619
