date,county,state,fips,cases,deaths,Year,month1,Month,Year-Month
2020-03-12,New York City,New York,,96,0,2020,3,03,2020-03
2020-03-12,Clark,Washington,53011,1,0,2020,3,03,2020-03
2020-03-13,Los Angeles,California,06037,40,1,2020,3,03,2020-03
2020-03-13,Cook,Illinois,17031,40,0,2020,3,03,2020-03
2020-03-13,Clark,Nevada,32003,16,0,2020,3,03,2020-03
2020-03-13,New York City,New York,,155,0,2020,3,03,2020-03
2020-03-13,Clark,Washington,53011,3,0,2020,3,03,2020-03
2020-03-14,Los Angeles,California,06037,53,1,2020,3,03,2020-03
2020-03-14,Cook,Illinois,17031,51,0,2020,3,03,2020-03
2020-03-14,Clark,Nevada,32003,16,0,2020,3,03,2020-03
2020-03-14,New York City,New York,,269,1,2020,3,03,2020-03
2020-03-14,Clark,Washington,53011,3,0,2020,3,03,2020-03
2020-03-15,Los Angeles,California,06037,69,1,2020,3,03,2020-03
2020-03-15,Cook,Illinois,17031,76,0,2020,3,03,2020-03
2020-03-15,Clark,Kentucky,21049,1,0,2020,3,03,2020-03
2020-03-15,Clark,Nevada,32003,16,0,2020,3,03,2020-03
2020-03-15,New York City,New York,,330,5,2020,3,03,2020-03
2020-03-15,Clark,Washington,53011,3,0,2020,3,03,2020-03
2020-03-16,Los Angeles,California,06037,94,1,2020,3,03,2020-03
2020-03-16,Cook,Illinois,17031,76,0,2020,3,03,2020-03
2020-03-16,Clark,Kentucky,21049,1,0,2020,3,03,2020-03
2020-03-16,Clark,Nevada,32003,35,1,2020,3,03,2020-03
2020-03-16,New York City,New York,,464,7,2020,3,03,2020-03
2020-03-16,Clark,Washington,53011,4,0,2020,3,03,2020-03
2020-03-17,Los Angeles,California,06037,144,1,2020,3,03,2020-03
2020-03-17,Hawaii,Hawaii,15001,1,0,2020,3,03,2020-03
2020-03-17,Cook,Illinois,17031,107,1,2020,3,03,2020-03
2020-03-17,Clark,Kentucky,21049,1,0,2020,3,03,2020-03
2020-03-17,Clark,Nevada,32003,42,1,2020,3,03,2020-03
2020-03-17,New York City,New York,,646,11,2020,3,03,2020-03
2020-03-17,Clark,Washington,53011,4,2,2020,3,03,2020-03
2020-03-18,Los Angeles,California,06037,190,1,2020,3,03,2020-03
2020-03-18,Hawaii,Hawaii,15001,1,0,2020,3,03,2020-03
2020-03-18,Cook,Illinois,17031,179,1,2020,3,03,2020-03
2020-03-18,Clark,Indiana,18019,1,0,2020,3,03,2020-03
2020-03-18,Clark,Kentucky,21049,2,0,2020,3,03,2020-03
2020-03-18,Clark,Nevada,32003,69,1,2020,3,03,2020-03
2020-03-18,New York City,New York,,1344,25,2020,3,03,2020-03
2020-03-18,Clark,Ohio,39023,1,0,2020,3,03,2020-03
2020-03-18,Clark,Washington,53011,4,3,2020,3,03,2020-03
2020-03-19,Clark,Arkansas,05019,1,0,2020,3,03,2020-03
2020-03-19,Los Angeles,California,06037,231,2,2020,3,03,2020-03
2020-03-19,Hawaii,Hawaii,15001,1,0,2020,3,03,2020-03
2020-03-19,Cook,Illinois,17031,279,2,2020,3,03,2020-03
2020-03-19,Clark,Indiana,18019,1,0,2020,3,03,2020-03
2020-03-19,Clark,Kentucky,21049,2,0,2020,3,03,2020-03
2020-03-19,Clark,Nevada,32003,74,1,2020,3,03,2020-03
2020-03-19,New York City,New York,,2477,31,2020,3,03,2020-03
2020-03-19,Clark,Ohio,39023,1,0,2020,3,03,2020-03
2020-03-19,Clark,Washington,53011,4,3,2020,3,03,2020-03
2020-03-20,Clark,Arkansas,05019,1,0,2020,3,03,2020-03
2020-03-20,Los Angeles,California,06037,292,2,2020,3,03,2020-03
2020-03-20,Hawaii,Hawaii,15001,1,0,2020,3,03,2020-03
2020-03-20,Cook,Illinois,17031,412,3,2020,3,03,2020-03
2020-03-20,Clark,Indiana,18019,1,0,2020,3,03,2020-03
2020-03-20,Clark,Kentucky,21049,2,0,2020,3,03,2020-03
2020-03-20,Clark,Nevada,32003,126,2,2020,3,03,2020-03
2020-03-20,New York City,New York,,4419,54,2020,3,03,2020-03
2020-03-20,Clark,Ohio,39023,1,0,2020,3,03,2020-03
2020-03-20,Clark,Washington,53011,6,3,2020,3,03,2020-03
2020-03-21,Clark,Arkansas,05019,1,0,2020,3,03,2020-03
2020-03-21,Los Angeles,California,06037,351,4,2020,3,03,2020-03
2020-03-21,Hawaii,Hawaii,15001,3,0,2020,3,03,2020-03
2020-03-21,Cook,Illinois,17031,548,4,2020,3,03,2020-03
2020-03-21,Clark,Indiana,18019,4,0,2020,3,03,2020-03
2020-03-21,Clark,Kentucky,21049,2,0,2020,3,03,2020-03
2020-03-21,Clark,Nevada,32003,126,2,2020,3,03,2020-03
2020-03-21,New York City,New York,,6226,75,2020,3,03,2020-03
2020-03-21,Clark,Ohio,39023,1,0,2020,3,03,2020-03
2020-03-21,Clark,Washington,53011,9,3,2020,3,03,2020-03
2020-03-22,Clark,Arkansas,05019,1,0,2020,3,03,2020-03
2020-03-22,Los Angeles,California,06037,421,5,2020,3,03,2020-03
2020-03-22,Hawaii,Hawaii,15001,3,0,2020,3,03,2020-03
2020-03-22,Cook,Illinois,17031,805,6,2020,3,03,2020-03
2020-03-22,Clark,Indiana,18019,4,0,2020,3,03,2020-03
2020-03-22,Clark,Kentucky,21049,2,0,2020,3,03,2020-03
2020-03-22,Clark,Nevada,32003,126,2,2020,3,03,2020-03
