date,City,State,Year,Month,Year-Month,Num_reviews,Num_cases,Num_deaths
2020-01-30,Hawaii,Hawaii,2020,01,2020-01,533,0,0
2020-01-30,Chicago,Illinois,2020,01,2020-01,48,0,0
2020-01-30,Las Vegas,Nevada,2020,01,2020-01,169,0,0
2020-01-30,New York,New York,2020,01,2020-01,271,0,0
2020-01-31,Los Angeles,California,2020,01,2020-01,809,1,0
2020-01-31,Hawaii,Hawaii,2020,01,2020-01,584,0,0
2020-01-31,Chicago,Illinois,2020,01,2020-01,122,0,0
2020-01-31,Las Vegas,Nevada,2020,01,2020-01,211,0,0
2020-01-31,New York,New York,2020,01,2020-01,444,0,0
2020-02-01,Los Angeles,California,2020,02,2020-02,714,1,0
2020-02-01,Hawaii,Hawaii,2020,02,2020-02,555,0,0
2020-02-01,Chicago,Illinois,2020,02,2020-02,130,0,0
2020-02-01,Las Vegas,Nevada,2020,02,2020-02,139,0,0
2020-02-01,New York,New York,2020,02,2020-02,418,0,0
2020-02-02,Los Angeles,California,2020,02,2020-02,1135,1,0
2020-02-02,Hawaii,Hawaii,2020,02,2020-02,488,0,0
2020-02-02,Chicago,Illinois,2020,02,2020-02,370,0,0
2020-02-02,Las Vegas,Nevada,2020,02,2020-02,426,0,0
2020-02-02,New York,New York,2020,02,2020-02,717,0,0
2020-02-03,Los Angeles,California,2020,02,2020-02,806,1,0
2020-02-03,Hawaii,Hawaii,2020,02,2020-02,542,0,0
2020-02-03,Chicago,Illinois,2020,02,2020-02,137,0,0
2020-02-03,Las Vegas,Nevada,2020,02,2020-02,325,0,0
2020-02-03,New York,New York,2020,02,2020-02,412,0,0
2020-02-04,Los Angeles,California,2020,02,2020-02,560,1,0
2020-02-04,Hawaii,Hawaii,2020,02,2020-02,535,0,0
2020-02-04,Chicago,Illinois,2020,02,2020-02,68,0,0
2020-02-04,Las Vegas,Nevada,2020,02,2020-02,194,0,0
2020-02-04,New York,New York,2020,02,2020-02,270,0,0
2020-02-05,Los Angeles,California,2020,02,2020-02,505,1,0
2020-02-05,Hawaii,Hawaii,2020,02,2020-02,537,0,0
2020-02-05,Chicago,Illinois,2020,02,2020-02,64,0,0
2020-02-05,Las Vegas,Nevada,2020,02,2020-02,137,0,0
2020-02-05,New York,New York,2020,02,2020-02,250,0,0
2020-02-06,Los Angeles,California,2020,02,2020-02,551,1,0
2020-02-06,Hawaii,Hawaii,2020,02,2020-02,537,0,0
2020-02-06,Chicago,Illinois,2020,02,2020-02,92,0,0
2020-02-06,Las Vegas,Nevada,2020,02,2020-02,189,0,0
2020-02-06,New York,New York,2020,02,2020-02,258,0,0
2020-02-07,Los Angeles,California,2020,02,2020-02,705,1,0
2020-02-07,Hawaii,Hawaii,2020,02,2020-02,525,0,0
2020-02-07,Chicago,Illinois,2020,02,2020-02,78,0,0
2020-02-07,Las Vegas,Nevada,2020,02,2020-02,271,0,0
2020-02-07,New York,New York,2020,02,2020-02,335,0,0
2020-02-08,Los Angeles,California,2020,02,2020-02,649,1,0
2020-02-08,Hawaii,Hawaii,2020,02,2020-02,611,0,0
2020-02-08,Chicago,Illinois,2020,02,2020-02,121,0,0
2020-02-08,Las Vegas,Nevada,2020,02,2020-02,242,0,0
2020-02-08,New York,New York,2020,02,2020-02,400,0,0
2020-02-09,Los Angeles,California,2020,02,2020-02,1293,1,0
2020-02-09,Hawaii,Hawaii,2020,02,2020-02,605,0,0
2020-02-09,Chicago,Illinois,2020,02,2020-02,382,0,0
2020-02-09,Las Vegas,Nevada,2020,02,2020-02,414,0,0
2020-02-09,New York,New York,2020,02,2020-02,893,0,0
2020-02-10,Los Angeles,California,2020,02,2020-02,1083,1,0
2020-02-10,Hawaii,Hawaii,2020,02,2020-02,604,0,0
2020-02-10,Chicago,Illinois,2020,02,2020-02,140,0,0
2020-02-10,Las Vegas,Nevada,2020,02,2020-02,267,0,0
2020-02-10,New York,New York,2020,02,2020-02,504,0,0
2020-02-11,Los Angeles,California,2020,02,2020-02,602,1,0
2020-02-11,Hawaii,Hawaii,2020,02,2020-02,610,0,0
2020-02-11,Chicago,Illinois,2020,02,2020-02,59,0,0
2020-02-11,Las Vegas,Nevada,2020,02,2020-02,145,0,0
2020-02-11,New York,New York,2020,02,2020-02,374,0,0
2020-02-12,Los Angeles,California,2020,02,2020-02,603,1,0
2020-02-12,Hawaii,Hawaii,2020,02,2020-02,537,0,0
2020-02-12,Chicago,Illinois,2020,02,2020-02,92,0,0
2020-02-12,Las Vegas,Nevada,2020,02,2020-02,114,0,0
2020-02-12,New York,New York,2020,02,2020-02,349,0,0
2020-02-13,Los Angeles,California,2020,02,2020-02,584,1,0
2020-02-13,Hawaii,Hawaii,2020,02,2020-02,498,0,0
2020-02-13,Chicago,Illinois,2020,02,2020-02,93,0,0
2020-02-13,Las Vegas,Nevada,2020,02,2020-02,135,0,0
2020-02-13,New York,New York,2020,02,2020-02,307,0,0
2020-02-14,Los Angeles,California,2020,02,2020-02,749,1,0
2020-02-14,Hawaii,Hawaii,2020,02,2020-02,572,0,0
2020-02-14,Chicago,Illinois,2020,02,2020-02,118,0,0
2020-02-14,Las Vegas,Nevada,2020,02,2020-02,152,0,0
2020-02-14,New York,New York,2020,02,2020-02,348,0,0
2020-02-15,Los Angeles,California,2020,02,2020-02,904,1,0
2020-02-15,Hawaii,Hawaii,2020,02,2020-02,642,0,0
2020-02-15,Chicago,Illinois,2020,02,2020-02,208,0,0
2020-02-15,Las Vegas,Nevada,2020,02,2020-02,229,0,0
2020-02-15,New York,New York,2020,02,2020-02,571,0,0
2020-02-16,Los Angeles,California,2020,02,2020-02,1309,1,0
2020-02-16,Hawaii,Hawaii,2020,02,2020-02,640,0,0
2020-02-16,Chicago,Illinois,2020,02,2020-02,642,0,0
2020-02-16,Las Vegas,Nevada,2020,02,2020-02,551,0,0
2020-02-16,New York,New York,2020,02,2020-02,1024,0,0
2020-02-17,Los Angeles,California,2020,02,2020-02,1255,1,0
2020-02-17,Hawaii,Hawaii,2020,02,2020-02,749,0,0
2020-02-17,Chicago,Illinois,2020,02,2020-02,548,0,0
2020-02-17,Las Vegas,Nevada,2020,02,2020-02,566,0,0
2020-02-17,New York,New York,2020,02,2020-02,942,0,0
2020-02-18,Los Angeles,California,2020,02,2020-02,737,1,0
2020-02-18,Hawaii,Hawaii,2020,02,2020-02,673,0,0
2020-02-18,Chicago,Illinois,2020,02,2020-02,133,0,0
2020-02-18,Las Vegas,Nevada,2020,02,2020-02,234,0,0
2020-02-18,New York,New York,2020,02,2020-02,472,0,0
2020-02-19,Los Angeles,California,2020,02,2020-02,664,1,0
2020-02-19,Hawaii,Hawaii,2020,02,2020-02,583,0,0
2020-02-19,Chicago,Illinois,2020,02,2020-02,78,0,0
2020-02-19,Las Vegas,Nevada,2020,02,2020-02,193,0,0
2020-02-19,New York,New York,2020,02,2020-02,347,0,0
2020-02-20,Los Angeles,California,2020,02,2020-02,622,1,0
2020-02-20,Hawaii,Hawaii,2020,02,2020-02,574,0,0
2020-02-20,Chicago,Illinois,2020,02,2020-02,71,0,0
2020-02-20,Las Vegas,Nevada,2020,02,2020-02,202,0,0
2020-02-20,New York,New York,2020,02,2020-02,356,0,0
2020-02-21,Los Angeles,California,2020,02,2020-02,778,1,0
2020-02-21,Hawaii,Hawaii,2020,02,2020-02,560,0,0
2020-02-21,Chicago,Illinois,2020,02,2020-02,100,0,0
2020-02-21,Las Vegas,Nevada,2020,02,2020-02,193,0,0
2020-02-21,New York,New York,2020,02,2020-02,407,0,0
2020-02-22,Los Angeles,California,2020,02,2020-02,780,1,0
2020-02-22,Hawaii,Hawaii,2020,02,2020-02,581,0,0
2020-02-22,Chicago,Illinois,2020,02,2020-02,139,0,0
2020-02-22,Las Vegas,Nevada,2020,02,2020-02,194,0,0
2020-02-22,New York,New York,2020,02,2020-02,461,0,0
2020-02-23,Los Angeles,California,2020,02,2020-02,1287,1,0
2020-02-23,Hawaii,Hawaii,2020,02,2020-02,619,0,0
2020-02-23,Chicago,Illinois,2020,02,2020-02,465,0,0
2020-02-23,Las Vegas,Nevada,2020,02,2020-02,662,0,0
2020-02-23,New York,New York,2020,02,2020-02,936,0,0
2020-02-24,Los Angeles,California,2020,02,2020-02,942,1,0
2020-02-24,Hawaii,Hawaii,2020,02,2020-02,631,0,0
2020-02-24,Chicago,Illinois,2020,02,2020-02,180,0,0
2020-02-24,Las Vegas,Nevada,2020,02,2020-02,406,0,0
2020-02-24,New York,New York,2020,02,2020-02,510,0,0
2020-02-25,Los Angeles,California,2020,02,2020-02,693,1,0
2020-02-25,Hawaii,Hawaii,2020,02,2020-02,629,0,0
2020-02-25,Chicago,Illinois,2020,02,2020-02,70,0,0
2020-02-25,Las Vegas,Nevada,2020,02,2020-02,184,0,0
2020-02-25,New York,New York,2020,02,2020-02,310,0,0
2020-02-26,Los Angeles,California,2020,02,2020-02,625,1,0
2020-02-26,Hawaii,Hawaii,2020,02,2020-02,600,0,0
2020-02-26,Chicago,Illinois,2020,02,2020-02,85,0,0
2020-02-26,Las Vegas,Nevada,2020,02,2020-02,146,0,0
2020-02-26,New York,New York,2020,02,2020-02,311,0,0
2020-02-27,Los Angeles,California,2020,02,2020-02,588,1,0
2020-02-27,Hawaii,Hawaii,2020,02,2020-02,583,0,0
2020-02-27,Chicago,Illinois,2020,02,2020-02,77,0,0
2020-02-27,Las Vegas,Nevada,2020,02,2020-02,171,0,0
2020-02-27,New York,New York,2020,02,2020-02,320,0,0
2020-02-28,Los Angeles,California,2020,02,2020-02,716,1,0
2020-02-28,Hawaii,Hawaii,2020,02,2020-02,546,0,0
2020-02-28,Chicago,Illinois,2020,02,2020-02,125,0,0
2020-02-28,Las Vegas,Nevada,2020,02,2020-02,181,0,0
2020-02-28,New York,New York,2020,02,2020-02,367,0,0
2020-02-29,Los Angeles,California,2020,02,2020-02,879,1,0
2020-02-29,Hawaii,Hawaii,2020,02,2020-02,645,0,0
2020-02-29,Chicago,Illinois,2020,02,2020-02,174,0,0
2020-02-29,Las Vegas,Nevada,2020,02,2020-02,207,0,0
2020-02-29,New York,New York,2020,02,2020-02,596,0,0
2020-03-01,Los Angeles,California,2020,03,2020-03,1280,1,0
2020-03-01,Hawaii,Hawaii,2020,03,2020-03,645,0,0
2020-03-01,Chicago,Illinois,2020,03,2020-03,563,0,0
2020-03-01,Las Vegas,Nevada,2020,03,2020-03,471,0,0
2020-03-01,New York,New York,2020,03,2020-03,1008,1,0
2020-03-02,Los Angeles,California,2020,03,2020-03,1006,1,0
2020-03-02,Hawaii,Hawaii,2020,03,2020-03,652,0,0
2020-03-02,Chicago,Illinois,2020,03,2020-03,206,0,0
2020-03-02,Las Vegas,Nevada,2020,03,2020-03,284,0,0
2020-03-02,New York,New York,2020,03,2020-03,550,1,0
2020-03-03,Los Angeles,California,2020,03,2020-03,609,1,0
2020-03-03,Hawaii,Hawaii,2020,03,2020-03,567,0,0
2020-03-03,Chicago,Illinois,2020,03,2020-03,126,0,0
2020-03-03,Las Vegas,Nevada,2020,03,2020-03,155,0,0
2020-03-03,New York,New York,2020,03,2020-03,363,2,0
2020-03-04,Los Angeles,California,2020,03,2020-03,638,7,0
2020-03-04,Hawaii,Hawaii,2020,03,2020-03,567,0,0
2020-03-04,Chicago,Illinois,2020,03,2020-03,91,0,0
2020-03-04,Las Vegas,Nevada,2020,03,2020-03,140,0,0
2020-03-04,New York,New York,2020,03,2020-03,337,2,0
2020-03-05,Los Angeles,California,2020,03,2020-03,619,11,0
2020-03-05,Hawaii,Hawaii,2020,03,2020-03,546,0,0
2020-03-05,Chicago,Illinois,2020,03,2020-03,106,0,0
2020-03-05,Las Vegas,Nevada,2020,03,2020-03,156,1,0
2020-03-05,New York,New York,2020,03,2020-03,374,4,0
2020-03-06,Los Angeles,California,2020,03,2020-03,774,13,0
2020-03-06,Hawaii,Hawaii,2020,03,2020-03,540,1,0
2020-03-06,Chicago,Illinois,2020,03,2020-03,110,0,0
2020-03-06,Las Vegas,Nevada,2020,03,2020-03,148,1,0
2020-03-06,New York,New York,2020,03,2020-03,383,5,0
2020-03-07,Los Angeles,California,2020,03,2020-03,767,14,0
2020-03-07,Hawaii,Hawaii,2020,03,2020-03,594,1,0
2020-03-07,Chicago,Illinois,2020,03,2020-03,141,0,0
2020-03-07,Las Vegas,Nevada,2020,03,2020-03,202,1,0
2020-03-07,New York,New York,2020,03,2020-03,480,12,0
2020-03-08,Los Angeles,California,2020,03,2020-03,1203,14,0
2020-03-08,Hawaii,Hawaii,2020,03,2020-03,638,2,0
2020-03-08,Chicago,Illinois,2020,03,2020-03,494,0,0
2020-03-08,Las Vegas,Nevada,2020,03,2020-03,474,2,0
2020-03-08,New York,New York,2020,03,2020-03,905,14,0
2020-03-09,Los Angeles,California,2020,03,2020-03,956,19,0
2020-03-09,Hawaii,Hawaii,2020,03,2020-03,636,2,0
2020-03-09,Chicago,Illinois,2020,03,2020-03,192,0,0
2020-03-09,Las Vegas,Nevada,2020,03,2020-03,358,2,0
2020-03-09,New York,New York,2020,03,2020-03,627,20,0
2020-03-10,Los Angeles,California,2020,03,2020-03,637,20,0
2020-03-10,Hawaii,Hawaii,2020,03,2020-03,540,2,0
2020-03-10,Chicago,Illinois,2020,03,2020-03,103,0,0
2020-03-10,Las Vegas,Nevada,2020,03,2020-03,196,2,0
2020-03-10,New York,New York,2020,03,2020-03,409,37,0
2020-03-11,Los Angeles,California,2020,03,2020-03,681,28,1
2020-03-11,Hawaii,Hawaii,2020,03,2020-03,557,2,0
2020-03-11,Chicago,Illinois,2020,03,2020-03,115,0,0
2020-03-11,Las Vegas,Nevada,2020,03,2020-03,271,5,0
2020-03-11,New York,New York,2020,03,2020-03,403,52,0
2020-03-12,Los Angeles,California,2020,03,2020-03,696,32,1
2020-03-12,Hawaii,Hawaii,2020,03,2020-03,533,2,0
2020-03-12,Chicago,Illinois,2020,03,2020-03,136,0,0
2020-03-12,Las Vegas,Nevada,2020,03,2020-03,277,8,0
2020-03-12,New York,New York,2020,03,2020-03,396,96,0
2020-03-13,Los Angeles,California,2020,03,2020-03,734,40,1
2020-03-13,Hawaii,Hawaii,2020,03,2020-03,484,2,0
2020-03-13,Chicago,Illinois,2020,03,2020-03,137,0,0
2020-03-13,Las Vegas,Nevada,2020,03,2020-03,326,16,0
2020-03-13,New York,New York,2020,03,2020-03,381,155,0
2020-03-14,Los Angeles,California,2020,03,2020-03,704,53,1
2020-03-14,Hawaii,Hawaii,2020,03,2020-03,572,4,0
2020-03-14,Chicago,Illinois,2020,03,2020-03,152,0,0
2020-03-14,Las Vegas,Nevada,2020,03,2020-03,382,16,0
2020-03-14,New York,New York,2020,03,2020-03,503,269,1
2020-03-15,Los Angeles,California,2020,03,2020-03,1032,69,1
2020-03-15,Hawaii,Hawaii,2020,03,2020-03,617,7,0
2020-03-15,Chicago,Illinois,2020,03,2020-03,512,0,0
2020-03-15,Las Vegas,Nevada,2020,03,2020-03,536,16,0
2020-03-15,New York,New York,2020,03,2020-03,657,330,5
