"","id","last_scraped","beds","bedrooms","host_is_superhost","accommodates","price","availability_30","availability_60","availability_90","availability_365","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","num_reviews","price_numeric","state"
"2192",20926888,2021-06-05,4,3,FALSE,8,"$370.00",3,4,4,4,2021-03-02,4.43,4.73,4.23,4.87,4.73,4.5,4.47,1,370,"NY"
"2193",20933293,2021-06-05,1,1,FALSE,2,"$36.00",5,7,23,257,2021-05-21,4.78,4.83,4.77,4.91,4.77,4.89,4.86,16,36,"NY"
"2194",20934059,2021-06-03,1,1,FALSE,2,"$112.00",0,0,0,0,2021-05-15,4.5,4.67,4.5,4.83,4.83,4.5,4.5,1,112,"NY"
"2195",20968166,2021-06-04,1,NA,TRUE,2,"$98.00",12,12,12,166,2021-05-31,4.9,4.92,4.94,4.95,4.94,4.79,4.86,17,98,"NY"
"2196",20970822,2021-06-05,2,NA,TRUE,4,"$104.00",11,38,68,343,2021-05-31,4.92,4.95,4.96,4.95,4.97,4.79,4.9,29,104,"NY"
"2197",20978416,2021-06-05,1,1,TRUE,3,"$139.00",0,0,0,0,2021-03-27,4.86,4.93,4.72,4.86,4.88,4.88,4.67,1,139,"NY"
"2198",20992027,2021-06-03,2,1,TRUE,2,"$300.00",0,0,0,0,2021-04-01,5,4.98,4.95,4.95,5,4.95,4.92,1,300,"NY"
"2199",20999025,2021-06-05,1,1,TRUE,2,"$45.00",7,17,40,305,2021-05-31,4.86,4.97,4.54,4.97,4.92,4.75,4.84,1,45,"NY"
"2200",21010586,2021-06-05,1,1,FALSE,2,"$234.00",0,1,1,187,2021-05-23,4.89,4.89,4.89,4.89,5,5,4.79,2,234,"NY"
"2201",21015347,2021-06-05,4,3,TRUE,10,"$134.00",1,5,9,220,2021-05-26,4.82,4.91,4.72,4.97,4.95,4.61,4.86,9,134,"NY"
